"Reactome Pathway Term","Adjusted P-value","Size","Leading Edge"
"Interleukin-12 family signaling","3.831e-02","45","ANXA2, CANX, CAPZA1, GSTO1, HNRNPDL, IL6ST, JAK2, PPIA, PSME2, RALA, RAP1B, RPLP0, SERPINB2, SOD1, SOD2, STAT1, TCP1, VAMP7"
"L13a-mediated translational silencing of Ceruloplasmin expression","2.114e-21","108","EIF1AX, EIF2S2, EIF3E, EIF3H, EIF3J, EIF3M, EIF4A2, EIF4E, RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA, UBA52"
"L1CAM interactions","1.118e-03","80","ACTB, ANK2, ANK3, AP2A1, DLG4, DNM1, DNM2, DPYSL2, EGFR, ITGA1, ITGA2, ITGA5, L1CAM, LAMC1, LYPLA2, MAP2K2, MAPK3, MSN, NFASC, NUMB, PAK1, RANBP9, RPS6KA1, RPS6KA5, SCN1B, SPTAN1, SPTBN1, SPTBN2, SPTBN4, SPTBN5, TUBA4A, TUBB1, TUBB3, VAV2"
"Laminin interactions","3.501e-04","22","COL4A2, COL4A4, COL4A5, HSPG2, ITGA1, ITGA2, ITGA3, ITGA6, ITGA7, ITGB4, LAMA2, LAMA3, LAMA5, LAMB2, LAMB3, LAMC1, LAMC2"
"Loss of Nlp from mitotic centrosomes","8.734e-03","67","AKAP9, ALMS1, CDK1, CEP152, CEP290, CEP57, CEP70, CEP78, CETN2, CNTRL, DYNC1I2, HAUS1, HAUS3, HAUS6, HSP90AA1, NEDD1, NEK2, PCM1, PLK4"
"Loss of proteins required for interphase microtubule organization from the centrosome","8.734e-03","67","AKAP9, ALMS1, CDK1, CEP152, CEP290, CEP57, CEP70, CEP78, CETN2, CNTRL, DYNC1I2, HAUS1, HAUS3, HAUS6, HSP90AA1, NEDD1, NEK2, PCM1, PLK4"
"M Phase","1.082e-10","362","AHCTF1, AKAP9, ALMS1, ARPP19, BLZF1, BUB3, CCNB2, CCP110, CDC27, CDK1, CENPC, CENPE, CENPF, CENPH, CENPI, CENPK, CENPL, CENPQ, CENPU, CEP152, CEP290, CEP57, CEP70, CEP78, CETN2, CLASP2, CNTRL, DSN1, DYNC1I2, ERCC6L, FBXO5, H2AZ1, H3-3A, HAUS1, HAUS3, HAUS6, HDAC8, HSP90AA1, ITGB3BP, KIF18A, KIF2A, KNL1, LEMD3, MAD2L1, MASTL, MCPH1, NCAPG, NDC1, NDC80, NEDD1, NEK2, NEK7, NIPBL, NME7, NSL1, NUF2, NUP107, NUP155, NUP35, NUP54, NUP58, PCM1, PDS5A, PLK4, PPP1CC, PPP2CA, PPP2R1B, PPP2R5A, PPP2R5E, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, PTTG1, RAB1A, RAB2A, RAN, RANBP2, RB1, RPS27, RPS27A, SEH1L, SEM1, SET, SGO2, SKA2, SMC2, SMC3, SMC4, SPAST, SPC25, SPDL1, STAG1, STAG2, SUMO1, TAOK1, TMPO, TNPO1, TPR, UBA52, UBC, UBE2D1, UBE2E1, VRK1, VRK2, XPO1, ZWILCH"
"MAPK1/MAPK3 signaling","3.905e-02","221","BRAF, CALM2, CAMK2D, CDK1, DLG1, DUSP10, FNTA, FRS2, GFRA3, IL6ST, JAK2, JAK3, KITLG, KRAS, LAMTOR3, LYPLA1, MET, NF1, NRAS, NRG1, PDE6D, PDGFB, PIK3CA, PPP1CB, PPP1CC, PPP2CA, PPP2R1B, PPP2R5A, PPP2R5C, PPP2R5E, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, PTPN11, RAP1A, RAP1B, RBX1, RPS27A, SEM1, SHOC2, SOS1, UBA52, UBC"
"MAPK6/MAPK4 signaling","8.177e-03","80","CDK1, MAPK6, PRKACB, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, SEPTIN7, UBA52, UBC, XPO1"
"MET activates PTK2 signaling","3.147e-02","21","COL5A2, FN1, ITGA2, ITGA3, LAMA2, LAMA3, LAMA5, LAMB2, LAMB3, LAMC1, LAMC2"
"Macroautophagy","1.719e-02","120","ATG12, ATG14, ATG3, ATG4C, ATG5, ATM, DYNC1I2, GABARAPL1, HSP90AA1, HSPA8, IFT88, LAMTOR3, LAMTOR4, MFN1, MTERF3, PARK7, PIK3C3, PLIN2, PRKAA2, RB1CC1, RHEB, RPS27A, RRAGB, RRAGD, SLC38A9, TOMM20, TOMM5, TOMM7, TOMM70, UBA52, UBC, UBE2N, WIPI1"
"Major pathway of rRNA processing in the nucleolus and cytosol","2.830e-25","176","C1D, DCAF13, DDX21, DDX52, DIS3, EMG1, ERI1, EXOSC3, EXOSC5, EXOSC9, FCF1, GNL3, HEATR1, KRR1, LAS1L, LTV1, MPHOSPH10, MPHOSPH6, MTREX, NCL, NIP7, NOL11, NOP58, PNO1, RBM28, RIOK2, RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL39L, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP1, RPLP2, RPP14, RPP30, RPP40, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPS8, RPSA, UBA52, UTP14A, UTP15, UTP18, UTP20, UTP3, UTP6, WDR12, WDR3, WDR36, WDR43, WDR75"
"Metabolism of amino acids and derivatives","1.831e-13","300","ACAT1, AIMP1, AMD1, APIP, CARNMT1, DARS1, DBT, DLD, EEF1E1, ENOPH1, EPRS1, HIBCH, HNMT, KARS1, KYAT3, LARS1, LIAS, LIPT1, NNMT, OAT, PHGDH, PPM1K, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RARS1, RIDA, RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA, SAT1, SEM1, SERINC1, SLC25A12, SLC25A21, SLC44A1, UBA52"
"Metabolism of non-coding RNA","1.248e-02","52","CLNS1A, DDX20, GEMIN2, NCBP1, NCBP2, NDC1, NUP107, NUP155, NUP35, NUP54, NUP58, NUP88, PHAX, RANBP2, SEH1L, SNRPD1, SNRPD2, SNRPD3, SNRPE, SNRPF, SNRPG, TGS1, TPR"
"Metabolism of polyamines","1.022e-03","56","AMD1, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, SAT1, SEM1"
"Mitochondrial biogenesis","8.750e-04","93","APOO, APOOL, ATF2, ATP5F1B, ATP5F1C, ATP5F1E, ATP5MC1, ATP5MC2, ATP5MC3, ATP5ME, ATP5MG, ATP5PB, ATP5PD, ATP5PF, ATP5PO, CALM2, CHCHD3, CHD9, CREB1, CYCS, GABPA, GABPB1, GLUD1, HSPA9, MAPK11, MAPK12, MEF2C, MICOS13, MTERF1, MTX1, MTX2, POLG2, PRKAA2, SAMM50, SIRT3, SIRT5, SOD2, SSBP1, TBL1XR1, TFAM, TFB2M, TGS1"
"Mitochondrial protein import","3.961e-02","61","ATP5F1B, ATP5MC1, BCS1L, CHCHD2, CHCHD3, CHCHD4, CHCHD7, CMC2, COA6, COX17, DNAJC19, FXN, GFER, GRPEL1, HSPA9, HSPD1, MTX1, MTX2, PAM16, SAMM50, SLC25A12, TIMM17A, TIMM21, TIMM23, TIMM8A, TIMM8B, TIMM9, TOMM20, TOMM5, TOMM7, TOMM70"
"Mitochondrial translation","4.649e-04","92","CHCHD1, GFM1, GFM2, MRPL1, MRPL11, MRPL13, MRPL14, MRPL15, MRPL17, MRPL18, MRPL19, MRPL20, MRPL21, MRPL23, MRPL24, MRPL3, MRPL30, MRPL32, MRPL33, MRPL35, MRPL39, MRPL40, MRPL42, MRPL46, MRPL47, MRPL48, MRPL50, MRPL51, MRPL54, MRPL58, MRPS10, MRPS12, MRPS14, MRPS15, MRPS16, MRPS18C, MRPS21, MRPS22, MRPS23, MRPS28, MRPS30, MRPS31, MRPS35, MRPS36, MRPS5, MRPS7, MRPS9, MRRF, MTIF2, MTIF3, TSFM"
"Mitochondrial translation elongation","2.185e-03","86","CHCHD1, GFM1, MRPL1, MRPL11, MRPL13, MRPL14, MRPL15, MRPL17, MRPL18, MRPL19, MRPL20, MRPL21, MRPL23, MRPL24, MRPL3, MRPL30, MRPL32, MRPL33, MRPL35, MRPL39, MRPL40, MRPL42, MRPL46, MRPL47, MRPL48, MRPL50, MRPL51, MRPL54, MRPL58, MRPS10, MRPS12, MRPS14, MRPS15, MRPS16, MRPS18C, MRPS21, MRPS22, MRPS23, MRPS28, MRPS30, MRPS31, MRPS35, MRPS36, MRPS5, MRPS7, MRPS9, TSFM"
"Mitochondrial translation initiation","1.493e-03","86","CHCHD1, MRPL1, MRPL11, MRPL13, MRPL14, MRPL15, MRPL17, MRPL18, MRPL19, MRPL20, MRPL21, MRPL23, MRPL24, MRPL3, MRPL30, MRPL32, MRPL33, MRPL35, MRPL39, MRPL40, MRPL42, MRPL46, MRPL47, MRPL48, MRPL50, MRPL51, MRPL54, MRPL58, MRPS10, MRPS12, MRPS14, MRPS15, MRPS16, MRPS18C, MRPS21, MRPS22, MRPS23, MRPS28, MRPS30, MRPS31, MRPS35, MRPS36, MRPS5, MRPS7, MRPS9, MTIF2, MTIF3"
"Mitochondrial translation termination","2.035e-03","86","CHCHD1, GFM2, MRPL1, MRPL11, MRPL13, MRPL14, MRPL15, MRPL17, MRPL18, MRPL19, MRPL20, MRPL21, MRPL23, MRPL24, MRPL3, MRPL30, MRPL32, MRPL33, MRPL35, MRPL39, MRPL40, MRPL42, MRPL46, MRPL47, MRPL48, MRPL50, MRPL51, MRPL54, MRPL58, MRPS10, MRPS12, MRPS14, MRPS15, MRPS16, MRPS18C, MRPS21, MRPS22, MRPS23, MRPS28, MRPS30, MRPS31, MRPS35, MRPS36, MRPS5, MRPS7, MRPS9, MRRF"
"Mitophagy","2.066e-02","28","ATG12, ATG5, MFN1, MTERF3, RPS27A, TOMM20, TOMM5, TOMM7, TOMM70, UBA52, UBC"
"Mitotic Anaphase","4.550e-12","222","AHCTF1, BUB3, CCNB2, CDC27, CDK1, CENPC, CENPE, CENPF, CENPH, CENPI, CENPK, CENPL, CENPQ, CENPU, CLASP2, DSN1, DYNC1I2, ERCC6L, HDAC8, ITGB3BP, KIF18A, KIF2A, KNL1, LEMD3, MAD2L1, NDC1, NDC80, NSL1, NUF2, NUP107, NUP155, NUP35, NUP54, NUP58, PDS5A, PPP1CC, PPP2CA, PPP2R1B, PPP2R5A, PPP2R5E, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, PTTG1, RAN, RANBP2, RPS27, RPS27A, SEH1L, SEM1, SGO2, SKA2, SMC3, SPAST, SPC25, SPDL1, STAG1, STAG2, SUMO1, TAOK1, TMPO, TNPO1, UBA52, UBC, UBE2D1, UBE2E1, VRK1, VRK2, XPO1, ZWILCH"
"Mitotic G1 phase and G1/S transition","3.367e-05","146","CCNA2, CCNE2, CDC7, CDK1, CDK6, CDK7, CDKN1C, CKS1B, DBF4, DHFR, FBXO5, GMNN, LIN9, MCM6, MNAT1, ORC3, ORC4, ORC5, PPP2CA, PPP2R1B, PRIM1, PRIM2, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, RB1, RPA3, RPS27A, SEM1, SKP1, SKP2, TFDP2, TOP2A, UBA52, UBC"
"Mitotic G2-G2/M phases","1.299e-05","185","AJUBA, AKAP9, ALMS1, AURKA, BORA, CCNA2, CCNB2, CDC25C, CDK1, CDK7, CENPF, CEP152, CEP290, CEP57, CEP70, CEP78, CETN2, CNTRL, DYNC1I2, HAUS1, HAUS3, HAUS6, HMMR, HSP90AA1, LIN9, MNAT1, NEDD1, NEK2, NME7, PCM1, PLK4, PPP1CB, PPP1R12A, PPP2CA, PPP2R1B, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBX1, RPS27A, SEM1, SKP1, UBA52, UBC, XPO1"
"Mitotic Metaphase and Anaphase","3.905e-12","223","AHCTF1, BUB3, CCNB2, CDC27, CDK1, CENPC, CENPE, CENPF, CENPH, CENPI, CENPK, CENPL, CENPQ, CENPU, CLASP2, DSN1, DYNC1I2, ERCC6L, FBXO5, HDAC8, ITGB3BP, KIF18A, KIF2A, KNL1, LEMD3, MAD2L1, NDC1, NDC80, NSL1, NUF2, NUP107, NUP155, NUP35, NUP54, NUP58, PDS5A, PPP1CC, PPP2CA, PPP2R1B, PPP2R5A, PPP2R5E, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, PTTG1, RAN, RANBP2, RPS27, RPS27A, SEH1L, SEM1, SGO2, SKA2, SMC3, SPAST, SPC25, SPDL1, STAG1, STAG2, SUMO1, TAOK1, TMPO, TNPO1, UBA52, UBC, UBE2D1, UBE2E1, VRK1, VRK2, XPO1, ZWILCH"
"Mitotic Prometaphase","7.905e-09","191","AHCTF1, AKAP9, ALMS1, BUB3, CCNB2, CCP110, CDK1, CENPC, CENPE, CENPF, CENPH, CENPI, CENPK, CENPL, CENPQ, CENPU, CEP152, CEP290, CEP57, CEP70, CEP78, CETN2, CLASP2, CNTRL, DSN1, DYNC1I2, ERCC6L, HAUS1, HAUS3, HAUS6, HDAC8, HSP90AA1, ITGB3BP, KIF18A, KIF2A, KNL1, MAD2L1, NCAPG, NDC80, NEDD1, NEK2, NEK7, NME7, NSL1, NUF2, NUP107, PCM1, PDS5A, PLK4, PPP1CC, PPP2CA, PPP2R1B, PPP2R5A, PPP2R5E, RANBP2, RPS27, SEH1L, SGO2, SKA2, SMC2, SMC3, SMC4, SPC25, SPDL1, STAG1, STAG2, TAOK1, XPO1, ZWILCH"
"Mitotic Spindle Checkpoint","3.888e-08","109","AHCTF1, BUB3, CDC27, CENPC, CENPE, CENPF, CENPH, CENPI, CENPK, CENPL, CENPQ, CENPU, CLASP2, DSN1, DYNC1I2, ERCC6L, ITGB3BP, KIF18A, KIF2A, KNL1, MAD2L1, NDC80, NSL1, NUF2, NUP107, PPP1CC, PPP2CA, PPP2R1B, PPP2R5A, PPP2R5C, PPP2R5E, RANBP2, RPS27, SEH1L, SGO2, SKA2, SPC25, SPDL1, TAOK1, UBE2D1, UBE2E1, XPO1, ZWILCH"
"NIK-->noncanonical NF-kB signaling","1.230e-04","57","MAP3K14, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, SKP1, UBA3, UBA52, UBC"
"NRAGE signals death through JNK","1.719e-02","50","ABR, AKAP13, ARHGEF1, ARHGEF10L, ARHGEF11, ARHGEF16, ARHGEF18, ARHGEF2, ARHGEF3, ARHGEF35, ARHGEF5, ARHGEF7, BAD, ITSN1, KALRN, NGEF, NGFR, PLEKHG2, TIAM1, TIAM2, VAV2"
"Neddylation","1.114e-04","211","ASB3, BTBD1, CAND1, COMMD1, COMMD10, COMMD3, COMMD6, COMMD8, COP1, COPS2, COPS4, COPS5, COPS8, CUL1, CUL2, CUL4B, CUL5, DCAF13, DCAF17, DCAF6, DCUN1D1, DCUN1D4, DCUN1D5, ELOB, ELOC, ERCC8, FBXL13, FBXL3, FBXL4, FBXL5, FBXO22, FBXW9, FEM1B, FEM1C, KBTBD6, KBTBD8, KLHL13, KLHL20, KLHL5, KLHL9, LRR1, NAE1, NEDD8, NFE2L2, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB10, PSMB3, PSMB7, PSMC2, PSMC6, PSMD1, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, PUM2, RBBP5, RBX1, RNF7, RPS27A, SEM1, SKP1, SKP2, SOCS5, SOCS6, UBA3, UBA52, UBC, UBE2D1, UBE2D2, UBE2D3, UBE2F, UBXN7"
"Negative regulation of NOTCH4 signaling","1.867e-04","53","PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, RBX1, RPS27A, SEM1, SKP1, UBA52, UBC"
"Negative regulators of DDX58/IFIH1 signaling","1.029e-02","34","ATG12, ATG5, HERC5, IFIH1, RPS27A, TAX1BP1, TBK1, UBA52, UBC, UBE2D1, UBE2D2, UBE2D3, UBE2K"
"Nervous system development","4.577e-05","446","ABL2, ACTR2, ACTR3, ADGRG6, ARHGEF12, ARPC2, ARPC3, ARPC4, ARPC5, CAP2, CLASP2, COL9A2, CREB1, CUL2, DLG1, ELOC, FLRT3, FRS2, GFRA3, HDAC2, HMGCR, HOXA2, HSP90AA1, HSPA8, KIF4A, KRAS, MAGOHB, MAPK8, MET, MYL12A, MYL12B, MYL6, NCK1, NRAS, PIK3CA, PLXNC1, PMP22, PPP3CB, PRKACB, PRNP, PSENEN, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB7, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, PTPN11, RBX1, ROCK1, ROCK2, RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS6KA3, RPS7, RPS8, RPSA, SDCBP, SEM1, SEMA3A, SIAH1, SOS1, UBA52, UBC, UPF3B, USP33, YES1"
"Neuronal System","8.734e-03","200","ADCY6, ADCY7, ALDH2, ALDH5A1, AP2A1, AP2S1, APBA1, ARHGEF7, BEGAIN, CACNA1A, CACNB3, CAMK4, CAMKK2, COMT, DLG4, DLGAP4, EPB41L1, EPB41L2, FLOT2, GABRA3, GIT1, GLUL, GNB2, GNB5, GRIN2B, GRIN2C, GRIN2D, HOMER2, HOMER3, HRAS, KCNA2, KCNAB2, KCNB2, KCNC3, KCNC4, KCNH2, KCNH3, KCNJ11, KCNJ14, KCNJ9, KCNK6, KCNK7, KCNMB3, KCNMB4, KCNN4, LIN7C, LRFN3, MAPK3, NLGN3, NPTN, NRGN, PANX2, PICK1, PLCB2, PLCB3, PPFIA1, PPFIA3, PPFIBP1, PRKAB1, PRKACA, PTPRF, PTPRS, RAB3A, RPS6KA1, SHANK2, SHARPIN, SIPA1L1, SLC17A7, SLC6A12, SYN2, TSPOAP1, TUBA4A, TUBB1, TUBB3, UNC13B"
"Non-integrin membrane-ECM interactions","9.248e-04","42","ACTN1, AGRN, COL4A2, COL4A4, COL4A5, DAG1, DDR1, FN1, HSPG2, ITGA2, ITGA6, ITGB4, ITGB5, LAMA2, LAMA3, LAMA5, LAMB2, LAMB3, LAMC1, LAMC2, TGFB1, TNC"
"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","4.575e-17","111","MAGOHB, PPP2CA, RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA, SMG1, UBA52, UPF3B"
"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","9.122e-19","91","RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA, UBA52"
"Nonsense-Mediated Decay (NMD)","4.575e-17","111","MAGOHB, PPP2CA, RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA, SMG1, UBA52, UPF3B"
"Nuclear events mediated by NFE2L2","4.348e-02","77","BACH1, PRDX1, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, RBX1, RPS27A, SEM1, SKP1, UBA52, UBC"
"Nucleosome assembly","3.898e-02","45","CENPC, CENPH, CENPI, CENPK, CENPL, CENPQ, CENPU, CENPW, H2AZ1, HJURP, ITGB3BP, KNL1, MIS18A, MIS18BP1, NPM1, RSF1, SMARCA5"
"Orc1 removal from chromatin","1.538e-05","68","CCNA2, MCM6, ORC3, ORC4, ORC5, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBX1, RPS27A, SEM1, SKP1, SKP2, UBA52, UBC"
"Organelle biogenesis and maintenance","1.289e-07","273","AKAP9, ALMS1, APOO, APOOL, ARF4, ARL6, ATF2, ATP5F1C, ATP5F1E, ATP5MC2, ATP5MC3, ATP5ME, ATP5MG, ATP5PB, ATP5PD, ATP5PF, ATP5PO, BBS7, CALM2, CCP110, CCT2, CCT3, CCT4, CCT5, CCT8, CDK1, CEP152, CEP162, CEP290, CEP57, CEP70, CEP78, CEP83, CETN2, CHCHD3, CHD9, CKAP5, CNTRL, CREB1, CYCS, DYNC1I2, DYNC2H1, DYNC2LI1, DYNLT2, DYNLT2B, EXOC5, EXOC6, GABPA, GLUD1, HAUS1, HAUS3, HAUS6, HSP90AA1, HSPB11, IFT52, IFT57, IFT74, IFT80, IFT88, KIF3A, LZTFL1, MAPK12, MAPRE1, MEF2C, MICOS13, MKKS, MTERF1, MTX1, MTX2, NEDD1, NEK2, NPHP1, PCM1, PDE6D, PLK4, POLG2, PRKAA2, RAB3IP, RPGRIP1L, SAMM50, SCLT1, SEPTIN2, SIRT3, SOD2, SSBP1, TBL1XR1, TCP1, TFAM, TFB2M, TGS1, TMEM67, TNPO1, TRIP11, TTC21B, TUBB2B, WDR35"
"Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha","1.893e-05","63","AJUBA, CUL2, ELOC, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBX1, RPS27A, SEM1, UBA52, UBC, UBE2D1, UBE2D2, UBE2D3, WTIP"
"PCP/CE pathway","1.029e-02","83","CLTC, DAAM1, FZD3, FZD6, PARD6A, PRICKLE1, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB7, PSMC2, PSMC6, PSMD1, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, ROR1, RPS27A, RYK, SEM1, SMURF2, UBA52, UBC"
"PINK1-PRKN Mediated Mitophagy","4.540e-03","21","ATG12, ATG5, MFN1, MTERF3, RPS27A, TOMM20, TOMM5, TOMM7, TOMM70, UBA52, UBC"
