"Reactome Pathway Term","Adjusted P-Value (limma)","Size (limma)","Leading Edge (limma)","Adjusted P-Value (DESeq2)","Size (DESeq2)","Leading Edge (DESeq2)"
"TNFR2 non-canonical NF-kB pathway","2.961e-04","69","Cul1, Ltbr, Map3k14, Nfkb2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Tnfrsf12a, Tnfrsf1a, Traf3, Ubc, Ube2m","1.959e-03","76","Ltbr, Map3k14, Nfkb2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Tnfrsf12a, Tnfrsf1a, Tnfsf9, Traf3, Ubc, Ube2m"
"CDK-mediated phosphorylation and removal of Cdc6","3.441e-03","62","Anapc2, Cdk2, Fzr1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","3.907e-04","64","Ccna2, Cdk2, Fzr1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"Clathrin-mediated endocytosis","2.224e-03","115","Actg1, Actr2, Actr3, Ap2b1, Ap2m1, Ap2s1, Areg, Arf6, Arpc5, Arrb1, Cltb, Cltc, Cops4, Cops7a, Dvl2, Epn1, Grb2, Grk2, Hbegf, Hip1r, Hspa8, Igf2r, Ldlr, Ldlrap1, Necap2, Nedd8, Pacsin3, Pik3c2a, Rab5c, Sh3gl2, Sh3kbp1, Snx9, Stam2, Ston2, Tor1a, Trip10, Ubc, Ubqln1, Vamp3, Vamp8","5.646e-04","120","Actg1, Actr2, Actr3, Ap2s1, Areg, Arf6, Arpc1a, Arpc5, Cltb, Cltc, Cops4, Cops6, Cops7a, Dvl2, Epn1, Grb2, Hbegf, Hip1r, Hspa8, Igf2r, Ldlr, Ldlrap1, Lrp2, Necap2, Nedd8, Pacsin3, Pik3c2a, Rab5c, Sh3gl2, Sh3kbp1, Snx9, Ston1, Ston2, Tgfa, Tgoln1, Tor1a, Trip10, Ubc, Ubqln1, Vamp3, Vamp8"
"Signaling by NTRKs","2.272e-03","62","Ap2b1, Ap2m1, Ap2s1, Chd4, Cltc, Frs2, Grb2, Irs2, Map2k1, Map2k2, Mapk1, Mapk3, Mapkapk2, Pcsk6, Pik3cb, Pik3r2, Ppp2ca, Ppp2r1b, Rac1, Ralgds, Rap1a, Rhoa, Sh3gl2, Src, Srf, Ywhab","5.646e-04","68","Ap2s1, Atf1, Chd4, Cltc, Dusp4, Frs2, Grb2, Irs2, Kidins220, Kras, Map2k1, Map2k2, Mapk1, Mapk3, Mapkapk2, Pcsk6, Pik3cb, Pik3r2, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Rac1, Ralgds, Rap1a, Rhoa, Sh3gl2, Src, Srf, Ywhab"
"Gluconeogenesis","4.601e-03","23","Aldoa, Fbp2, Got1, Got2, Mdh2, Pgam1, Pgk1, Slc25a1, Slc25a10, Slc25a11, Slc25a13, Slc37a1, Slc37a4, Tpi1","4.547e-04","26","Aldoa, Fbp2, Got1, Got2, Mdh1, Mdh2, Pgam1, Pgk1, Slc25a1, Slc25a10, Slc25a11, Slc25a13, Slc37a1, Slc37a4, Tpi1"
"Hedgehog 'on' state","2.421e-03","69","Arrb1, Grk2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Smurf1, Spop, Ubc","5.646e-04","72","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Smurf1, Ubc"
"Signaling by TGF-beta Receptor Complex","6.623e-04","60","Ccnc, Ccnt1, Cdk8, Cdk9, F11r, Fkbp1a, Itgb1, Ltbp3, Ltbp4, Mapk1, Mapk3, Men1, Mtmr4, Ncor2, Nedd8, Ppm1a, Rhoa, Smad3, Smad7, Smurf1, Snw1, Sp1, Ubc, Ube2m","1.959e-03","62","Ccnc, Ccnt1, Cdk8, Cdk9, E2f5, F11r, Fkbp1a, Furin, Itgb1, Itgb5, Ltbp3, Ltbp4, Mapk1, Mapk3, Men1, Mtmr4, Nedd8, Pard3, Ppm1a, Rhoa, Smad3, Smad7, Smurf1, Snw1, Sp1, Strap, Tgfb1, Ubc, Ube2m, Wwtr1"
"Cdc20:Phospho-APC/C mediated degradation of Cyclin A","2.074e-03","61","Anapc2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","1.325e-03","64","Anapc2, Ccna2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"Signaling by NTRK1 (TRKA)","1.613e-03","54","Ap2b1, Ap2m1, Ap2s1, Atf1, Chd4, Cltc, Creb1, Crk, Dusp4, Frs2, Grb2, Irs2, Kidins220, Kras, Map2k1, Map2k2, Mapk1, Mapk3, Mapkapk2, Pik3cb, Pik3r2, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ralgds, Rap1a, Rhoa, Sgk1, Sh3gl2, Shc1, Srf, Ywhab","1.766e-03","58","Ap2b1, Ap2s1, Atf1, Chd4, Cltc, Dusp4, Frs2, Grb2, Irs2, Kidins220, Kras, Map2k1, Map2k2, Mapk1, Mapk3, Mapkapk2, Pik3cb, Pik3r2, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ralgds, Rap1a, Rhoa, Sh3gl2, Shc1, Srf, Ywhab"
"Pyruvate metabolism and Citric Acid (TCA) cycle","1.626e-02","44","Dlst, Fh1, Glo1, Idh3a, Ldha, Mdh2, Me1, Me2, Ogdh, Pdha1, Ppard, Rxra, Sdha, Sdhb, Sdhc, Sdhd","1.646e-04","44","Dlat, Dld, Dlst, Fh1, Glo1, Idh2, Idh3a, Idh3b, Idh3g, Ldha, Mdh2, Me1, Me2, Ogdh, Pdha1, Pdhb, Pdhx, Pdk2, Pdk4, Pdp2, Ppard, Rxra, Sdha, Sdhb, Sdhc, Sdhd, Suclg1, Suclg2"
"Complex I biogenesis","1.508e-02","47","Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa3, Ndufa6, Ndufa7, Ndufa8, Ndufab1, Ndufb10, Ndufb2, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs2, Ndufs4, Ndufs7, Ndufv1, Ndufv2, Ndufv3","2.776e-04","48","Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa3, Ndufa6, Ndufa7, Ndufa8, Ndufab1, Ndufaf4, Ndufb10, Ndufb2, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs2, Ndufs3, Ndufs4, Ndufs5, Ndufs6, Ndufs7, Ndufs8, Ndufv1, Ndufv2, Ndufv3"
"ABC-family proteins mediated transport","1.118e-03","81","Abcd3, Apoa1, Derl2, Eif2s1, Eif2s3x, Erlin2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc, Vcp","2.574e-03","85","Abcb6, Abcb8, Abcd3, Apoa1, Derl2, Eif2s1, Eif2s3x, Erlin2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc, Vcp"
"Mitochondrial biogenesis","2.411e-02","22","Acss2, Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5g3, Atp5j, Atp5j2, Atp5k, Atp5l, Idh2, Sod2","7.216e-05","22","Acss2, Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5g3, Atp5j, Atp5j2, Atp5k, Atp5l, Atp5o, Glud1, Idh2, Sod2"
"TCR signaling","1.062e-02","86","Cul1, Nfkbia, Pak2, Pik3cb, Pik3r2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Tab2, Ubc, Ube2d2a, Ube2v1","4.547e-04","90","Nfkbia, Pak2, Pik3cb, Pik3r2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Tab2, Ubc, Ube2v1"
"APC/C:Cdc20 mediated degradation of mitotic proteins","4.758e-03","63","Anapc2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","7.326e-04","66","Anapc2, Ccna2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Pttg1, Ubc"
"APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1","8.950e-03","65","Anapc2, Fzr1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","5.033e-04","67","Anapc2, Fzr1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Pttg1, Ubc"
"Transcriptional regulation by RUNX2","3.817e-03","57","Cul1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","1.766e-03","57","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"Formation of the cornified envelope","1.493e-02","32","Dsg2, Dsp, Evpl, Jup, Krt18, Krt19, Krt23, Krt7, Krt78, Krt8, Krt80, Perp, Rptn","4.838e-04","39","Dsc2, Dsg2, Dsp, Evpl, Jup, Krt18, Krt19, Krt20, Krt23, Krt7, Krt78, Krt8, Krt80, Perp, Rptn"
"Keratinization","1.493e-02","32","Dsg2, Dsp, Evpl, Jup, Krt18, Krt19, Krt23, Krt7, Krt78, Krt8, Krt80, Perp, Rptn","4.838e-04","39","Dsc2, Dsg2, Dsp, Evpl, Jup, Krt18, Krt19, Krt20, Krt23, Krt7, Krt78, Krt8, Krt80, Perp, Rptn"
"Autophagy","1.930e-02","107","Atg101, Atg3, Atg9a, Atg9b, Becn1, Chmp2a, Chmp2b, Chmp3, Chmp4b, Chmp4c, Chmp6, Csnk2a1, Csnk2b, Dync1i2, Dynll1, Dynll2, Lamtor2, Lamtor3, Map1lc3a, Map1lc3b, Mfn2, Park7, Pex5, Pik3c3, Prkag1, Rheb, Rraga, Rragc, Sqstm1, Src, Tomm22, Tomm40, Tomm6, Tuba1c, Tuba4a, Tubb2a, Tubb4b, Ubc, Ube2v1, Ulk1, Vim, Wipi2","3.043e-04","108","Atg101, Atg16l1, Atg3, Atg9a, Atg9b, Becn1, Chmp2a, Chmp2b, Chmp3, Chmp4b, Chmp4c, Csnk2a1, Csnk2b, Dync1i2, Dynll1, Dynll2, Gabarap, Gabarapl2, Lamtor2, Lamtor3, Map1lc3a, Map1lc3b, Mfn2, Park7, Pex5, Pik3c3, Prkag1, Rheb, Rraga, Rragc, Sqstm1, Src, Tomm22, Tomm40, Tomm5, Tomm6, Tuba1c, Tuba4a, Tubb2a, Tubb4b, Ubc, Ube2v1, Ulk1, Vim, Wipi2"
"Macroautophagy","1.930e-02","107","Atg101, Atg3, Atg9a, Atg9b, Becn1, Chmp2a, Chmp2b, Chmp3, Chmp4b, Chmp4c, Chmp6, Csnk2a1, Csnk2b, Dync1i2, Dynll1, Dynll2, Lamtor2, Lamtor3, Map1lc3a, Map1lc3b, Mfn2, Park7, Pex5, Pik3c3, Prkag1, Rheb, Rraga, Rragc, Sqstm1, Src, Tomm22, Tomm40, Tomm6, Tuba1c, Tuba4a, Tubb2a, Tubb4b, Ubc, Ube2v1, Ulk1, Vim, Wipi2","3.043e-04","108","Atg101, Atg16l1, Atg3, Atg9a, Atg9b, Becn1, Chmp2a, Chmp2b, Chmp3, Chmp4b, Chmp4c, Csnk2a1, Csnk2b, Dync1i2, Dynll1, Dynll2, Gabarap, Gabarapl2, Lamtor2, Lamtor3, Map1lc3a, Map1lc3b, Mfn2, Park7, Pex5, Pik3c3, Prkag1, Rheb, Rraga, Rragc, Sqstm1, Src, Tomm22, Tomm40, Tomm5, Tomm6, Tuba1c, Tuba4a, Tubb2a, Tubb4b, Ubc, Ube2v1, Ulk1, Vim, Wipi2"
"EPHB-mediated forward signaling","2.272e-03","32","Actg1, Actr2, Actr3, Arpc1b, Arpc5, Cdc42, Efnb1, Ephb3, Rac1, Rasa1, Rhoa, Rock2, Src","4.661e-03","33","Actg1, Actr2, Actr3, Arpc1b, Arpc5, Cdc42, Efnb1, Ephb3, Rac1, Rasa1, Rhoa, Src"
"Interleukin-1 family signaling","7.572e-03","99","Cul1, Hmgb1, Il1r1, Il33, Irak1, Lrrc14, Map3k8, Mapk8, Myd88, Nfkb2, Nfkbia, Nfkbib, Nkiras2, Nlrx1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd12, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rela, Sqstm1, Tab2, Tbk1, Tollip, Traf2, Ubc, Ube2v1, Usp18","1.848e-03","102","Hmgb1, Il1r1, Il33, Lrrc14, Map3k8, Mapk8, Myd88, Nfkb2, Nfkbia, Nfkbib, Nkiras2, Nlrc5, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Sqstm1, Stat3, Tab2, Tollip, Ubc, Ube2v1, Usp18"
"ECM proteoglycans","4.259e-02","28","Col1a1, Col1a2, Col3a1, Col5a2, Col5a3, Dcn, Fn1, Itga2, Itga2b, Itgax, Itgb3, Sparc, Tnxb","2.084e-04","31","Bgn, Col1a1, Col1a2, Col3a1, Col5a3, Dcn, Fn1, Itga2, Itga9, Itgax, Itgb6, Tnn"
"Interleukin-1 signaling","1.108e-02","91","Cul1, Myd88, Nfkb2, Nfkbia, Nfkbib, Nkiras2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Sqstm1, Tab2, Tollip, Ubc, Ube2v1, Usp18","1.721e-03","93","Hmgb1, Il1r1, Lrrc14, Map3k8, Myd88, Nfkb2, Nfkbia, Nfkbib, Nkiras2, Nlrc5, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Sqstm1, Tab2, Tollip, Ubc, Ube2v1, Usp18"
"RAF activation","1.688e-02","32","Brap, Calm1, Calm2, Jak2, Kras, Map2k1, Map2k2, Map3k11, Ppp1cb, Ppp2ca, Ppp2r1b, Ppp2r5b, Raf1, Shoc2, Src, Ywhab","5.646e-04","32","Brap, Calm1, Calm2, Kras, Map2k1, Map2k2, Map3k11, Ppp1cb, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r5b, Raf1, Shoc2, Src, Ywhab"
"RUNX1 regulates transcription of genes involved in differentiation of HSCs","3.011e-02","57","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","2.808e-04","57","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"RHO GTPases activate PKNs","6.595e-03","20","Pkn1, Ppp1cb, Ppp1r12a, Rac1, Rhoa, Rhob, Sfn, Ywhab, Ywhah, Ywhaz","3.896e-03","21","Ppp1cb, Ppp1r12a, Rac1, Rhoa, Rhob, Sfn, Ywhab, Ywhah, Ywhaz"
"APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint","1.442e-02","62","Anapc2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","1.942e-03","65","Ccna2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"Peptide ligand-binding receptors","1.752e-02","51","Aplnr, C3ar1, C5ar2, Ccl17, Ccl25, Ccl9, Cxcl12, Cxcl2, Cxcl3, Cxcl5, Cxcr4, Edn2, Gper1, Pf4, Ppbp, Tacr1, Tacr2","1.009e-03","83","Ackr2, Aplnr, C5ar1, Cck, Ccl12, Ccl17, Ccl25, Ccl7, Ccl9, Ccr4, Ccr5, Cxcl1, Cxcl13, Cxcl2, Cxcl3, Cxcl5, Cxcl9, Edn2, Nln, Oprd1, Prokr2, Tacr2"
"Lysosome Vesicle Biogenesis","7.996e-03","29","Ap1b1, Ap1g1, Ap1g2, Arf1, Arrb1, Chmp2a, Cltb, Cltc, Ctsz, Hspa8, Sh3gl2, Txndc5, Vamp8","4.002e-03","30","Ap1b1, Ap1g1, Ap1g2, Arf1, Chmp2a, Cltb, Cltc, Ctsz, Hspa8, Sh3gl2, Txndc5, Vamp8"
"Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins","1.930e-02","64","Anapc2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","1.721e-03","67","Anapc2, Ccna2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Pttg1, Ubc"
"GPCR downstream signalling","4.108e-03","247","Adcy3, Adcy4, Adcy7, Adcy8, Adm2, Adora1, Adora2a, Akt3, Aplnr, Arhgef25, Arhgef26, Arhgef39, Arhgef9, Arrb2, C3ar1, Calcrl, Camkk2, Ccl25, Ccl9, Cxcl12, Cxcl2, Cxcl3, Cxcl5, Cxcr4, Dgkb, Dgke, Dgkh, Edn2, Ffar4, Fgd1, Fgd2, Fn1, Glp1r, Gna12, Gna15, Gnaq, Gnaz, Gng10, Gng11, Gnrh1, Gper1, Gpr132, Gpr27, Gpr68, Gpsm3, Grk3, Itpr1, Itpr2, Lpar6, Mapk7, Pde1b, Pde1c, Pde4c, Pde4d, Pde7a, Pf4, Pik3ca, Pik3r5, Pik3r6, Plcb2, Plcb4, Ppbp, Ppp1r1b, Prkacb, Prkce, Prkcg, Prkch, Ptger2, Ptgir, Ramp1, Rasgrf2, Rgs19, Rgs2, S1pr4, Sos2, Tacr1, Tacr2, Tas1r3, Tiam2, Vip","2.162e-02","321","Adcy1, Adcy6, Adm2, Akap13, Aplnr, Arhgef15, Arhgef26, Arhgef39, Arhgef9, Arrb2, C5ar1, Calcrl, Cck, Ccl25, Ccl9, Ccr1, Ccr4, Ccr5, Cxcl1, Cxcl13, Cxcl2, Cxcl3, Cxcl5, Cxcl9, Dgkb, Dgkh, Edn2, Ffar2, Ffar4, Fn1, Gabbr1, Gip, Glp1r, Gna12, Gna15, Gnaq, Gng10, Gnrh1, Gpr176, Gpr18, Gpr27, Gpsm3, Grk3, Htr6, Kalrn, Lpar6, Oprd1, Pde1a, Pde7a, Plcb4, Ppp1r1b, Prkacb, Prkce, Prokr2, Ramp1, Rgs17, Rgs19, Rhoc, S1pr4, S1pr5, Sos2, Tacr2"
"Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer","5.779e-03","32","Ccnc, Ccnt1, Cdk8, Cdk9, Mapk1, Mapk3, Men1, Ncor2, Ppm1a, Smad3, Smad7, Snw1, Sp1, Ubc","1.147e-02","32","Ccnc, Ccnt1, Cdk8, Cdk9, E2f5, Mapk1, Mapk3, Men1, Ppm1a, Smad3, Smad7, Snw1, Sp1, Ubc, Wwtr1"
"SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription","1.524e-02","21","Ccnc, Ccnt1, Cdk8, Cdk9, Mapk1, Mapk3, Men1, Smad3, Smad7, Sp1, Ubc","3.233e-03","21","Ccnc, Ccnt1, Cdk8, Cdk9, E2f5, Mapk1, Mapk3, Men1, Smad3, Smad7, Sp1, Ubc, Wwtr1"
"Signaling by GPCR","6.765e-03","260","Adcy3, Adcy4, Adcy7, Adcy8, Adm2, Adora1, Adora2a, Akt3, Aplnr, Arhgef25, Arhgef26, Arhgef39, Arhgef9, Arrb2, C3ar1, C5ar2, Calcrl, Camkk2, Ccl17, Ccl25, Ccl9, Cxcl12, Cxcl2, Cxcl3, Cxcl5, Cxcr4, Dgkb, Dgke, Dgkh, Edn2, Ffar4, Fgd1, Fgd2, Fn1, Glp1r, Gna12, Gna15, Gnaq, Gnaz, Gng10, Gng11, Gnrh1, Gper1, Gpr132, Gpr27, Gpr68, Gpsm3, Grk3, Itpr1, Itpr2, Lpar6, Mapk7, Pde1b, Pde1c, Pde4c, Pde4d, Pde7a, Pf4, Pik3ca, Pik3r5, Pik3r6, Plcb2, Plcb4, Plppr2, Ppbp, Ppp1r1b, Prkacb, Prkce, Prkcg, Prkch, Ptger2, Ptgir, Ramp1, Rasgrf2, Rgs19, Rgs2, S1pr4, Sos2, Tacr1, Tacr2, Tas1r3, Tiam2, Vip","1.179e-02","341","Ackr2, Adcy1, Adcy6, Adgre1, Adm2, Akap13, Aplnr, Arhgef15, Arhgef26, Arhgef39, Arhgef9, Arrb2, C5ar1, Calcrl, Cck, Ccl12, Ccl17, Ccl25, Ccl7, Ccl9, Ccr1, Ccr4, Ccr5, Cxcl1, Cxcl13, Cxcl2, Cxcl3, Cxcl5, Cxcl9, Dgkb, Dgkh, Edn2, Ffar2, Ffar4, Fn1, Gabbr1, Gip, Glp1r, Gna12, Gna15, Gnaq, Gng10, Gnrh1, Gpr176, Gpr18, Gpr27, Gpsm3, Grk3, Htr6, Kalrn, Lpar6, Nln, Oprd1, Pde1a, Pde7a, Plcb4, Ppp1r1b, Prkacb, Prkce, Prokr2, Ramp1, Rgs17, Rgs19, Rhoc, S1pr4, S1pr5, Sos2, Tacr2"
"ISG15 antiviral mechanism","2.750e-02","24","Arih1, Ddx58, Eif4a1, Eif4e, Eif4g1, Eif4g3, Isg15, Mapk3, Nedd4, Trim25, Ube2l6, Usp18","1.190e-03","25","Arih1, Ddx58, Eif4e, Eif4g1, Eif4g3, Isg15, Mapk3, Nedd4, Trim25, Ube2l6, Usp18"
"L1CAM interactions","1.782e-02","50","Actg1, Ap2b1, Ap2m1, Ap2s1, Cltc, Csnk2a1, Csnk2b, Ezr, Itga5, Itgb1, Lypla2, Map2k1, Map2k2, Mapk1, Mapk3, Rac1, Sh3gl2, Src, Tuba1c, Tuba4a, Tubb2a, Tubb4b","5.607e-03","54","Actg1, Ap2s1, Cltc, Csnk2a1, Csnk2b, Ezr, Itga5, Itgb1, Lypla2, Map2k1, Map2k2, Mapk1, Mapk3, Rac1, Sdcbp, Sh3gl2, Src, Tuba1c, Tuba4a, Tubb2a, Tubb4b"
