"Reactome Pathway Term","Adjusted P-Value (limma)","Size (limma)","Leading Edge (limma)","Adjusted P-Value (DESeq2)","Size (DESeq2)","Leading Edge (DESeq2)"
"Transport to the Golgi and subsequent modification","5.190e-06","151","Arcn1, Areg, Arf1, Arf4, Arf5, Arfgap2, Arfgap3, B4galt1, B4galt3, Bet1l, Capzb, Cnih1, Cog8, Col7a1, Copa, Copb1, Copb2, Cope, Csnk1d, Ctsc, Ctsz, Dctn3, Dync1li1, Dync1li2, Dynll2, Fuca1, Golga2, Kdelr2, Lman1, Lman2, Man1a2, Man2a1, Mcfd2, Mgat2, Mgat4b, Mgat5, Mia3, Napa, Preb, Rab1a, Rab1b, Sec16a, Sec23a, Sec24b, Sptbn2, St8sia6, Tfg, Tmed2, Tmed7, Tmed9, Tmem115, Trappc1, Trappc3, Trappc4, Trappc5, Trappc6b, Trappc9, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6, Ykt6","4.552e-05","155","Actr10, Arcn1, Areg, Arf1, Arf4, Arf5, Arfgap2, Arfgap3, B4galt1, B4galt3, Bet1, Bet1l, Capzb, Cnih1, Cog8, Col7a1, Copa, Copb2, Cope, Copz1, Csnk1d, Ctsc, Ctsz, Dctn3, Dctn6, Dync1li2, Dynll1, Dynll2, Fuca1, Golga2, Gorasp1, Kdelr1, Kdelr2, Lman1, Lman2, Lman2l, Man1a2, Mcfd2, Mgat1, Mgat2, Mgat4b, Mia3, Napa, Rab1a, Rab1b, Sec16a, Sec23a, Sec24b, Sptbn1, Sptbn2, St6gal1, St8sia6, Tfg, Tgfa, Tmed2, Tmed7, Tmed9, Tmem115, Trappc1, Trappc3, Trappc4, Trappc5, Trappc9, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb3, Tubb4b, Tubb6, Ykt6"
"RHO GTPase Effectors","1.252e-04","218","Abi1, Abl1, Actg1, Actr2, Arpc1a, Arpc1b, Baiap2, Brk1, Calm1, Calm2, Calm3, Cdc20, Cdca8, Cenpa, Ctnna1, Ctnnb1, Cyba, Cyfip1, Daam1, Dync1li2, Fmnl2, Grb2, Iqgap3, Kif2c, Mapre1, Men1, Mrtfa, Myh9, Myl12b, Myl6, Nudc, Pak2, Pdpk1, Pfn1, Pkn1, Pkn3, Plk1, Ppp1cb, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r5b, Rac1, Rangap1, Rhoa, Rhob, Rhog, Rock1, Rock2, Sfn, Spc24, Srf, Tax1bp3, Tuba1a, Tuba1c, Tubb2a, Tubb2b, Tubb4b, Tubb6, Xpo1, Ywhab, Ywhae, Ywhag, Ywhah, Ywhaq","5.421e-06","226","Abi1, Abl1, Actg1, Actr2, Arpc1a, Arpc1b, Arpc2, Arpc3, Aurkb, Baiap2, Brk1, Bub1, Bub3, Calm1, Calm2, Calm3, Cdc20, Cdca8, Cdh1, Cenpa, Cenpk, Cenpo, Cenpq, Ckap5, Clip1, Ctnna1, Ctnnb1, Cyba, Cyfip1, Daam1, Dync1li2, Dynll2, Fmnl2, Fmnl3, Gopc, Grb2, Incenp, Iqgap1, Iqgap3, Kif2c, Klc3, Mad1l1, Mad2l1, Mapk3, Mapre1, Men1, Mis12, Mrtfa, Myh14, Myh9, Myl12b, Myl6, Nckap1, Nde1, Nudc, Nuf2, Nup107, Pafah1b1, Pak2, Pdpk1, Pfn1, Pkn1, Pkn3, Plk1, Ppp1cb, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r5b, Prc1, Rac1, Rangap1, Rhoa, Rhob, Rhod, Rhog, Rock1, Rock2, Sfn, Sgo2a, Spc24, Src, Srf, Tax1bp3, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb3, Tubb4b, Tubb6, Wipf1, Xpo1, Ywhab, Ywhae, Ywhag, Ywhah, Ywhaq, Ywhaz"
"Asparagine N-linked glycosylation","2.721e-05","222","Alg5, Alg9, Amdhd2, Amfr, Arcn1, Areg, Arf1, Arf4, Arf5, Arfgap2, Arfgap3, B4galt1, B4galt3, Bet1l, Calr, Canx, Capzb, Cnih1, Cog8, Col7a1, Copa, Copb1, Copb2, Cope, Csnk1d, Ctsc, Ctsz, Dctn3, Dctn6, Dpm1, Dpm3, Dync1li1, Dync1li2, Dynll2, Fcsk, Fuca1, Fuom, Gmds, Golga2, Kdelr2, Lman1, Lman2, Man1a2, Man2a1, Mcfd2, Mgat2, Mgat4b, Mgat5, Mia3, Mpi, Mvd, Nagk, Nans, Napa, Neu1, Nus1, Pdia3, Pmm1, Preb, Psmc1, Rab1a, Rab1b, Rad23b, Sar1b, Sec16a, Sec23a, Sec24b, Slc35c1, Sptbn2, St8sia6, Tfg, Tmed2, Tmed7, Tmed9, Tmem115, Trappc1, Trappc3, Trappc4, Trappc5, Trappc6b, Trappc9, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6, Ubc, Vcp, Ykt6","1.832e-05","228","Actr10, Alg12, Alg3, Alg5, Alg9, Amfr, Arcn1, Areg, Arf1, Arf4, Arf5, Arfgap2, Arfgap3, B4galt1, B4galt3, Bet1, Bet1l, Calr, Canx, Capzb, Cnih1, Cog8, Col7a1, Copa, Copb2, Cope, Copz1, Csnk1d, Ctsa, Ctsc, Ctsz, Dctn3, Dctn6, Dpm3, Dync1li2, Dynll1, Dynll2, Fuca1, Fuom, Gfpt2, Gmds, Golga2, Gorasp1, Kdelr1, Kdelr2, Lman1, Lman2, Lman2l, Man1a2, Mcfd2, Mgat1, Mgat2, Mgat4b, Mia3, Mvd, Nagk, Nans, Napa, Neu1, Nus1, Pdia3, Pmm1, Rab1a, Rab1b, Rad23b, Sec16a, Sec23a, Sec24b, Slc35c1, Sptbn1, Sptbn2, St6gal1, St6galnac4, St8sia6, Tfg, Tgfa, Tmed2, Tmed7, Tmed9, Tmem115, Trappc1, Trappc3, Trappc4, Trappc5, Trappc9, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb3, Tubb4b, Tubb6, Ubc, Vcp, Ykt6"
"ESR-mediated signaling","1.892e-06","100","Areg, Btc, Calm1, Calm2, Calm3, Cav1, Cav2, Cdk9, Cdkn1b, Creb1, Egfr, Ereg, Fkbp4, Foxa1, Foxo3, Gnai2, Gnai3, Gnb1, Gnb2, Gng10, Gtf2a1, Gtf2f1, Gtf2f2, H3f3a, H3f3b, Hbegf, Hras, Hsp90aa1, Hsp90ab1, Kat5, Kras, Pdpk1, Pik3ca, Polr2e, Polr2f, Polr2h, Prmt1, Ptges3, Shc1, Sphk1, Xpo1, Zdhhc7","8.025e-05","103","Akt3, Areg, Btc, Calm1, Calm2, Calm3, Cav1, Cav2, Cdk9, Cdkn1b, Egfr, Ereg, Fkbp4, Foxa1, Foxo3, Gata3, Gnai2, Gnai3, Gnb1, Gnb2, Gng10, Gtf2a1, Gtf2f1, H3f3a, H3f3b, Hbegf, Hras, Hsp90ab1, Kras, Mapk3, Mmp2, Pdpk1, Pik3ca, Polr2e, Polr2h, Polr2i, Prmt1, Ptges3, Shc1, Sphk1, Tgfa, Tle3, Xpo1, Zdhhc7"
"Autophagy","7.433e-06","107","Ambra1, Arl13b, Atg101, Atg16l1, Atg3, Atg4b, Atg7, Atg9a, Becn1, Cftr, Chmp2b, Chmp3, Chmp4b, Csnk2b, Dync1li1, Dync1li2, Dynll2, Gabarap, Gabarapl1, Gabarapl2, Lamtor2, Lamtor3, Lamtor5, Map1lc3a, Mfn2, Mtor, Park7, Pcnt, Pgam5, Pink1, Prkaa1, Prkab2, Rb1cc1, Rheb, Rragc, Sqstm1, Tomm20, Tomm22, Tomm40, Tomm5, Tomm6, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6, Ubc, Ube2n, Ube2v1, Vdac1, Vim, Wipi2","4.535e-05","110","Ambra1, Arl13b, Atg101, Atg3, Atg4b, Atg9a, Becn1, Chmp2b, Chmp3, Chmp4b, Chmp4c, Csnk2b, Dync1li2, Dynll1, Dynll2, Gabarap, Gabarapl1, Gabarapl2, Hdac6, Lamtor2, Lamtor3, Mfn2, Mtor, Nbr1, Park7, Pcnt, Pink1, Prkaa1, Prkab2, Rheb, Rragc, Sqstm1, Src, Tomm20, Tomm22, Tomm40, Tomm6, Tomm7, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb3, Tubb4b, Tubb6, Ubc, Ube2n, Ube2v1, Vdac1, Vim, Wipi2"
"Macroautophagy","7.433e-06","107","Ambra1, Arl13b, Atg101, Atg16l1, Atg3, Atg4b, Atg7, Atg9a, Becn1, Cftr, Chmp2b, Chmp3, Chmp4b, Csnk2b, Dync1li1, Dync1li2, Dynll2, Gabarap, Gabarapl1, Gabarapl2, Lamtor2, Lamtor3, Lamtor5, Map1lc3a, Mfn2, Mtor, Park7, Pcnt, Pgam5, Pink1, Prkaa1, Prkab2, Rb1cc1, Rheb, Rragc, Sqstm1, Tomm20, Tomm22, Tomm40, Tomm5, Tomm6, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6, Ubc, Ube2n, Ube2v1, Vdac1, Vim, Wipi2","4.535e-05","110","Ambra1, Arl13b, Atg101, Atg3, Atg4b, Atg9a, Becn1, Chmp2b, Chmp3, Chmp4b, Chmp4c, Csnk2b, Dync1li2, Dynll1, Dynll2, Gabarap, Gabarapl1, Gabarapl2, Hdac6, Lamtor2, Lamtor3, Mfn2, Mtor, Nbr1, Park7, Pcnt, Pink1, Prkaa1, Prkab2, Rheb, Rragc, Sqstm1, Src, Tomm20, Tomm22, Tomm40, Tomm6, Tomm7, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb3, Tubb4b, Tubb6, Ubc, Ube2n, Ube2v1, Vdac1, Vim, Wipi2"
"GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2","3.818e-05","46","Nfe2l2, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Ubc","1.696e-05","46","Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Ubc"
"PCP/CE pathway","1.004e-04","79","Ap2a1, Ap2m1, Ap2s1, Cltb, Cltc, Daam1, Fzd7, Pfn1, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Rac1, Rac3, Rhoa, Smurf1, Ubc","9.673e-06","80","Ap2m1, Ap2s1, Cltb, Cltc, Daam1, Fzd1, Fzd4, Fzd7, Pfn1, Psma1, Psma3, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Rac1, Rac3, Rhoa, Smurf1, Ubc"
"Formation of the cornified envelope","5.977e-04","37","Dsc2, Dsg2, Dsp, Evpl, Jup, Kazn, Krt14, Krt15, Krt18, Krt19, Krt20, Krt5, Krt7, Krt8, Krt80, Perp, Pkp1, Pkp3, Pkp4, Ppl, Tgm1","2.103e-06","43","Dsc2, Dsg2, Dsp, Evpl, Jup, Kazn, Krt14, Krt15, Krt18, Krt19, Krt20, Krt5, Krt7, Krt8, Krt80, Perp, Pkp1, Pkp3, Rptn, Tgm1"
"COPI-mediated anterograde transport","2.559e-05","80","Arcn1, Arf1, Arf4, Arf5, Arfgap2, Arfgap3, Bet1l, Capzb, Cog8, Copa, Copb1, Copb2, Cope, Dctn3, Dctn6, Dync1li1, Dync1li2, Dynll2, Golga2, Kdelr2, Napa, Rab1a, Rab1b, Sptbn2, Tmed2, Tmed7, Tmed9, Tmem115, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6, Ykt6","5.555e-05","81","Actr10, Arcn1, Arf1, Arf4, Arf5, Arfgap2, Arfgap3, Bet1, Bet1l, Capzb, Cog8, Copa, Copb2, Cope, Copz1, Dctn3, Dctn6, Dync1li2, Dynll1, Dynll2, Golga2, Gorasp1, Kdelr1, Kdelr2, Napa, Rab1a, Rab1b, Sptbn1, Sptbn2, Tmed2, Tmed7, Tmed9, Tmem115, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb3, Tubb4b, Tubb6, Ykt6"
"mRNA Splicing","3.150e-07","167","Cd2bp2, Cdc5l, Clp1, Cpsf2, Crnkl1, Ctnnbl1, Cwc15, Ddx42, Dhx15, Dhx38, Fus, Gtf2f1, Gtf2f2, Hnrnpa0, Hnrnpa1, Hnrnpa2b1, Hnrnph2, Hnrnpk, Hnrnpl, Hnrnpu, Hnrnpul1, Hspa8, Isy1, Lsm3, Lsm4, Lsm6, Lsm7, Magoh, Ncbp1, Pcbp1, Pcf11, Phf5a, Polr2e, Polr2f, Polr2h, Polr2i, Ppil1, Prcc, Prpf40a, Prpf8, Puf60, Rbm17, Rnps1, Sf3b2, Sf3b5, Sf3b6, Snrnp35, Snrpa, Snrpa1, Snrpc, Snrpd1, Snrpd2, Snrpf, Snu13, Srsf11, Srsf2, Srsf3, Srsf9, Sympk, Tra2b, Txnl4a, Wbp11, Wbp4, Ybx1","4.950e-04","167","Bud31, Cd2bp2, Cdc5l, Clp1, Cpsf2, Cpsf3, Crnkl1, Cstf2, Ctnnbl1, Cwc15, Cwc22, Cwc25, Ddx23, Ddx42, Ddx46, Dhx38, Eftud2, Eif4a3, Fus, Gtf2f1, Gtf2f2, Hnrnpa0, Hnrnpa1, Hnrnpa2b1, Hnrnpc, Hnrnpd, Hnrnpf, Hnrnph2, Hnrnpk, Hnrnpl, Hnrnpu, Hnrnpul1, Hspa8, Isy1, Lsm2, Lsm3, Lsm4, Lsm5, Lsm6, Lsm7, Magoh, Ncbp1, Nudt21, Pcbp1, Pcf11, Phf5a, Plrg1, Polr2e, Polr2f, Polr2g, Polr2h, Polr2i, Polr2l, Ppie, Ppil1, Pqbp1, Prcc, Prpf31, Prpf38a, Prpf40a, Prpf8, Rbm17, Rbm8a, Rnps1, Sf3a1, Sf3b2, Sf3b5, Sf3b6, Snrnp200, Snrnp25, Snrnp27, Snrnp35, Snrpa, Snrpa1, Snrpc, Snrpd1, Snrpd2, Snrpe, Snrpf, Snrpg, Snu13, Srrm2, Srsf2, Srsf3, Srsf5, Srsf9, Sugp1, Syf2, Sympk, Tra2b, Txnl4a, U2af1, Usp39, Wbp11, Wbp4, Ybx1, Zmat5"
"Processing of Capped Intron-Containing Pre-mRNA","4.582e-07","215","Aaas, Casc3, Cd2bp2, Cdc5l, Chtop, Clp1, Cpsf2, Crnkl1, Ctnnbl1, Cwc15, Cwc22, Cwc25, Ddx39b, Ddx42, Ddx46, Dhx15, Dhx38, Eif4a3, Eif4e, Fus, Gtf2f1, Gtf2f2, Hnrnpa0, Hnrnpa1, Hnrnpa2b1, Hnrnpd, Hnrnph2, Hnrnpk, Hnrnpl, Hnrnpu, Hnrnpul1, Hspa8, Isy1, Lsm2, Lsm3, Lsm4, Lsm5, Lsm6, Lsm7, Magoh, Ncbp1, Ndc1, Nup107, Nup153, Nup155, Nup214, Nup54, Nup62, Nup93, Nupl2, Pcbp1, Pcf11, Phf5a, Poldip3, Polr2e, Polr2f, Polr2h, Polr2i, Pom121, Ppil1, Pqbp1, Prcc, Prpf3, Prpf31, Prpf38a, Prpf40a, Prpf8, Puf60, Rbm17, Rnps1, Sf3a1, Sf3b2, Sf3b5, Sf3b6, Slbp, Snrnp35, Snrpa, Snrpa1, Snrpc, Snrpd1, Snrpd2, Snrpe, Snrpf, Snrpg, Snu13, Srrm2, Srsf11, Srsf2, Srsf3, Srsf5, Srsf9, Syf2, Sympk, Thoc6, Tpr, Tra2b, Txnl4a, Wbp11, Wbp4, Wtap, Ybx1, Zcrb1","3.673e-04","215","Aaas, Bud31, Cd2bp2, Cdc5l, Chtop, Clp1, Cpsf2, Cpsf3, Crnkl1, Cstf2, Ctnnbl1, Cwc15, Cwc22, Cwc25, Ddx23, Ddx39b, Ddx42, Ddx46, Dhx38, Eftud2, Eif4a3, Eif4e, Fus, Fyttd1, Gle1, Gtf2f1, Gtf2f2, Hnrnpa0, Hnrnpa1, Hnrnpa2b1, Hnrnpc, Hnrnpd, Hnrnpf, Hnrnph2, Hnrnpk, Hnrnpl, Hnrnpu, Hnrnpul1, Hspa8, Isy1, Lsm2, Lsm3, Lsm4, Lsm5, Lsm6, Lsm7, Magoh, Mettl14, Ncbp1, Ndc1, Nudt21, Nup107, Nup153, Nup155, Nup210, Nup214, Nup50, Nup54, Nup62, Nup93, Nupl2, Pcbp1, Pcf11, Phf5a, Plrg1, Poldip3, Polr2e, Polr2f, Polr2g, Polr2h, Polr2i, Polr2l, Pom121, Ppie, Ppil1, Pqbp1, Prcc, Prpf31, Prpf38a, Prpf40a, Prpf8, Rbm17, Rbm8a, Rnps1, Sf3a1, Sf3b2, Sf3b5, Sf3b6, Slbp, Slu7, Snrnp200, Snrnp25, Snrnp27, Snrnp35, Snrpa, Snrpa1, Snrpc, Snrpd1, Snrpd2, Snrpe, Snrpf, Snrpg, Snu13, Srrm2, Srsf2, Srsf3, Srsf5, Srsf9, Sugp1, Syf2, Sympk, Thoc5, Thoc6, Tpr, Tra2b, Txnl4a, U2af1, Usp39, Wbp11, Wbp4, Wtap, Ybx1, Zmat5"
"Signaling by NTRK1 (TRKA)","5.920e-05","58","Ap2a1, Ap2m1, Ap2s1, Chd4, Cltc, Creb1, Dusp6, Dusp7, Frs2, Grb2, Hras, Irs2, Kidins220, Kras, Map2k2, Mapkapk2, Ngf, Pik3ca, Pik3cb, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ralgds, Rhoa, Sgk1, Shc1, Srf, Ywhab","1.623e-05","58","Ap2a1, Ap2m1, Ap2s1, Chd4, Cltc, Crk, Dusp6, Dusp7, Frs2, Grb2, Hras, Irs1, Irs2, Kras, Map2k1, Map2k2, Mapk3, Mapkapk2, Ngf, Pik3ca, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ralgds, Rap1a, Rhoa, Sgk1, Shc1, Srf, Ywhab"
"MAPK family signaling cascades","1.023e-04","236","Abhd17a, Actg1, Areg, Arl2, Btc, Calm1, Calm2, Calm3, Ccnd3, Csk, Dlg1, Dusp10, Dusp5, Dusp6, Dusp7, Dusp9, Egfr, Ereg, Fn1, Fnta, Frs2, Golga7, Grb2, Hbegf, Hras, Irs2, Lamtor3, Map2k2, Map3k11, Mapk6, Pak2, Pebp1, Pik3ca, Ppp1cb, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r5b, Prkaca, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Rac1, Ralgds, Rasgrf1, Rce1, Shc1, Tln1, Ubc, Vcl, Xpo1, Ywhab","1.131e-05","252","Abhd17a, Actg1, Areg, Arl2, Btc, Calm1, Calm2, Calm3, Ccnd3, Cdc42ep2, Cdc42ep3, Csk, Dusp10, Dusp5, Dusp6, Dusp7, Dusp9, Egfr, Ereg, Fnta, Foxo3, Frs2, Golga7, Grb2, Hbegf, Hras, Iqgap1, Irs2, Kras, Lamtor2, Lamtor3, Map2k1, Map2k2, Map3k11, Mapk6, Pak2, Pdgfra, Pebp1, Pik3ca, Ppp1cb, Ppp2ca, Ppp2cb, Ppp2r1b, Ppp2r5b, Prkaca, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Ptpn11, Rac1, Ralgds, Rap1a, Rasgrf1, Rce1, Shc1, Shoc2, Sptbn2, Tgfa, Tln1, Ubc, Vcl, Xpo1, Ywhab"
"RHO GTPases activate PKNs","4.434e-05","21","Pkn1, Ppp1cb, Rac1, Rhoa, Rhob, Sfn, Ywhab, Ywhae, Ywhag, Ywhah, Ywhaq","3.646e-05","21","Pdpk1, Pkn1, Pkn3, Ppp1cb, Rac1, Rhoa, Rhob, Sfn, Ywhab, Ywhae, Ywhag, Ywhah, Ywhaq, Ywhaz"
"Nuclear events mediated by NFE2L2","5.436e-05","47","Nfe2l2, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Ubc","2.390e-05","47","Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Ubc"
"Selective autophagy","5.436e-05","56","Arl13b, Cftr, Csnk2b, Dync1li1, Dync1li2, Dynll2, Mfn2, Park7, Pcnt, Pink1, Sqstm1, Tomm20, Tomm22, Tomm40, Tomm6, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6, Ubc, Ube2n, Vdac1, Vim","2.493e-05","57","Arl13b, Csnk2b, Dync1li2, Dynll1, Dynll2, Hdac6, Mfn2, Nbr1, Park7, Pcnt, Pink1, Sqstm1, Src, Tomm20, Tomm22, Tomm40, Tomm6, Tomm7, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb3, Tubb4b, Tubb6, Ubc, Ube2n, Ube2v1, Vdac1, Vim"
"SCF(Skp2)-mediated degradation of p27/p21","4.788e-04","55","Ccna2, Cdk2, Cdk4, Cdkn1a, Cdkn1b, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Ubc","6.420e-06","55","Ccna2, Cdkn1b, Cks1b, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Ubc"
"mRNA Splicing - Major Pathway","4.370e-07","161","Cd2bp2, Cdc5l, Clp1, Cpsf2, Crnkl1, Ctnnbl1, Cwc15, Ddx42, Dhx15, Dhx38, Fus, Gtf2f1, Gtf2f2, Hnrnpa0, Hnrnpa1, Hnrnpa2b1, Hnrnph2, Hnrnpk, Hnrnpl, Hnrnpu, Hnrnpul1, Hspa8, Isy1, Lsm3, Lsm4, Lsm6, Lsm7, Magoh, Ncbp1, Pcbp1, Pcf11, Phf5a, Polr2e, Polr2f, Polr2h, Polr2i, Ppil1, Prcc, Prpf40a, Prpf8, Puf60, Rbm17, Rnps1, Sf3b2, Sf3b5, Sf3b6, Snrpa, Snrpa1, Snrpc, Snrpd1, Snrpd2, Snrpf, Snu13, Srsf11, Srsf2, Srsf3, Srsf9, Sympk, Tra2b, Txnl4a, Wbp11, Wbp4, Ybx1","6.684e-04","161","Bud31, Cd2bp2, Cdc5l, Clp1, Cpsf2, Cpsf3, Crnkl1, Cstf2, Ctnnbl1, Cwc15, Cwc22, Cwc25, Ddx23, Ddx42, Ddx46, Dhx38, Eftud2, Eif4a3, Fus, Gtf2f1, Gtf2f2, Hnrnpa0, Hnrnpa1, Hnrnpa2b1, Hnrnpc, Hnrnpd, Hnrnpf, Hnrnph2, Hnrnpk, Hnrnpl, Hnrnpu, Hnrnpul1, Hspa8, Isy1, Lsm2, Lsm3, Lsm4, Lsm5, Lsm6, Lsm7, Magoh, Ncbp1, Nudt21, Pcbp1, Pcf11, Phf5a, Plrg1, Polr2e, Polr2f, Polr2g, Polr2h, Polr2i, Polr2l, Ppie, Ppil1, Pqbp1, Prcc, Prpf31, Prpf38a, Prpf40a, Prpf8, Rbm17, Rbm8a, Rnps1, Sf3a1, Sf3b2, Sf3b5, Sf3b6, Snrnp200, Snrnp27, Snrpa, Snrpa1, Snrpc, Snrpd1, Snrpd2, Snrpe, Snrpf, Snrpg, Snu13, Srrm2, Srsf2, Srsf3, Srsf5, Srsf9, Sugp1, Syf2, Sympk, Tra2b, Txnl4a, U2af1, Usp39, Wbp11, Wbp4, Ybx1"
"Cyclin A:Cdk2-associated events at S phase entry","2.457e-04","67","Ccna2, Cdk2, Cdk4, Cdk7, Cdkn1a, Cdkn1b, Cks1b, Fzr1, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Ubc, Wee1","1.119e-05","67","Akt1, Akt3, Ccna2, Cdk2, Cdk7, Cdkn1b, Cks1b, Fzr1, Psma1, Psma3, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd1, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Ubc, Wee1"
"G2/M Transition","8.982e-05","161","Ccna2, Cdk2, Cdk7, Cdkn1a, Cep192, Csnk1d, Dctn3, Hmmr, Hsp90aa1, Hsp90ab1, Mapre1, Nek2, Pafah1b1, Pcnt, Phlda1, Plk1, Ppp1cb, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r2a, Prkaca, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Rab8a, Tuba1a, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb5, Tubb6, Ubc, Xpo1, Ywhae, Ywhag","2.473e-05","163","Ccna2, Cdk7, Cep192, Ckap5, Csnk1d, Dctn3, Haus8, Hmmr, Hsp90ab1, Mapre1, Nek2, Pafah1b1, Pcnt, Phlda1, Plk1, Ppp1cb, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r2a, Prkaca, Psma1, Psma3, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Rab8a, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb5, Tubb6, Ubc, Wee1, Xpo1, Ywhae, Ywhag"
